verdict,statement,sentiment
mostly-true,Says student loan interest rates will double from 3.4 percent to 6.8 percent July 1.,0.4588
false,"""We see an uncompleted wall that was duly appropriated dollars during the Trump days to build over 700 miles. Only 150 miles were constructed.""",0.0
true,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.""",-0.5994
false,"J.K. Rowling tweeted, ""If you American birds could keep your legs closed then maybe you wouldn’t need abortions in the first place?""",0.0
mostly-false,"Says that compared to Rick Baker's time as mayor, Kriseman ""had wet weather events that he did not experience"" that caused sewage spills. Baker ""went through significant periods of drought during his time as mayor.""",0.2023
mostly-false,"With Medicare for All, ""study after study has shown that ... the average middle-class families will save $3,000 each and every year on their health care bills.""",0.7506
true,"Cal Cunningham ""voted for over $1 billion in new taxes.""",0.0
mostly-true,"""Millions of dollars are spent by Planned Parenthood to elect Democrats to the House of Representatives and the Senate.""",0.0
pants-fire,"Says ""union bosses"" bused protesters to a Central Florida education protest.",-0.4404
pants-fire,"""The minions from ‘Despicable Me’ are based off of these Jewish children tortured by Nazis during the Holocaust.""",-0.5574
mostly-false,"""Every city that has a commuter tax — look at Detroit, Philadelphia — they are actually stagnating in terms of their economy. It’s been a job-killer.""",0.0
pants-fire,"The COVID-19 vaccines contain ""HIV lipid wrappers.""",0.0
mostly-false,"Obama voted ""to cut off funding for our American troops on the battlefield.""",-0.2732
pants-fire,"""Democrats and their allies (...) are manufacturing voters.""",0.0
pants-fire,"A video clip from the Notre Dame cathedral fire shows a man walking alone in a tower of the church ""dressed in Muslim garb.""",-0.5267
mostly-true,Says a portfolio managed by the Texas General Land Office earned 22 percent last year while the state’s emergency reserve account experienced a 1 percent gain.,0.2023
mostly-true,"""90% of Americans, regardless of political party, want universal background checks.""",0.4588
mostly-false,"Says President Donald Trump is ""waging a trade war against WI farmers -- forcing > 1600 dairy farms to close.""",-0.5994
pants-fire,"Says Emma Gonzalez, a survivor of the Parkland school shooting, ripped up a copy of the U.S. Constitution",0.3612
half-true,"""In the United States, if there was equal participation of women in the labor market, GDP would be up by 5 percent.""",0.4215
mostly-true,"Says the federal government could save $175,587 by eliminating a study of the ""connection between cocaine and risky sex habits of the Japanese quail.""",0.34
true,"""One would have to go back more than a century to find a scenario where a president’s nominee for the Supreme Court was confirmed by the opposition party in the Senate when the vacancy occurred during an election year.""",0.743
half-true,"Says Brett Kavanaugh ""has said the president shouldn't be investigated.""",0.0
mostly-false,"Harry Reid ""voted to use taxpayer dollars to pay for Viagra for convicted child molesters and sex offenders.""",-0.5574
mostly-true,"""Food stamp enrollment drops by four million in one month.""",0.0
false,"""Now that it’s even, Nevada decides to stop counting and is now not going to count anything until TOMORROW! What?!""",-0.4184
true,"""There are close to 900,000 unemployed veterans in America right now.""",0.0
false,"Says Merrick Garland is investigating Donald Trump’s ""tax evasion case.""",0.0
false,"Says The Washington Times ran a front-page headline that said, ""President Gore.""",0.0
half-true,"""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""",0.0
half-true,"""Jane Norton supported the largest tax hike in Colorado history.""",0.3182
mostly-false,Says the Affordable Care Act was a federal takeover of the student loan industry and ‘profits’ on the loans go to help pay for the health care law.,0.8271
mostly-true,"""In other states (where illegal immigrants have been allowed to get driver's licenses) their insurance premiums for everybody have gone down.""",-0.5574
mostly-true,"Number of Americans killed by terrorism in the last decade: 24. Number of Americans killed by guns in the last decade: 280,024.",-0.9325
mostly-true,"As part of legislative fights over abortion rights, ""Mike Coffman co-sponsored a bill to redefine rape.""",-0.4019
false,"""The American people spoke pretty loudly. They said stop all the looming tax hikes....""",0.128
false,"Beaverton ""enjoys the most diverse population (by percentage of population) among Oregon cities.""",0.5106
pants-fire,Says Taylor Swift wants to remove the Statue of Liberty,0.6369
pants-fire,"Says Donald Trump tweeted that the Confederate flag is ""a symbol of LOVE!! Plantations kept black people employed and gave them free food and housing!!! Black unemployment was VERY low back then like now with ME as your President!!""",0.783
mostly-true,"""There’s an Amazon distribution center that was advertising, last time I was there, up to $12.75 an hour. Your parents made that three decades ago.""",0.1779
false,"A person’s immune system ""tanks"" after their second COVID-19 vaccine dose.",0.296
true,"""The United States death rate is two-and-a-half times higher for those who do not have a high school education.""",-0.2732
mostly-true,"""You can have an active warrant for your arrest for murder and legally pass a background check system in the state of Texas"" to purchase a gun.",-0.7506
half-true,"Says New Jersey is ""down nearly 200,000 jobs from its pre-recession peak"" and with Gov. Chris Christie ""New Jersey has trailed the rest of America when it comes to unemployment"" for 12 consecutive months.",-0.4404
pants-fire,"The probability of Biden winning in Wisconsin, Georgia, Michigan and Pennsylvania ""given President Trump’s early lead ... is less than one in a quadrillion"" in each state.",0.5267
mostly-true,"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",0.5719
half-true,"When you compare our state pension system ""to other systems throughout the country, our benefits are not gold-plated. They are not rich. They are actually average or below average.""",-0.0834
mostly-true,"""Expanding Medicaid, which if we had done at the beginning of the Abbott administration, would have brought in $100 billion to this state's economy.""",0.0
true,"""The Republican presidential nominee hasn’t won women since 1988.""",0.5719
false,"""McDonald’s (makes) you all sign noncompete contracts that you cannot go across town to try to get a job at Burger King.""",0.0
false,"""Taxpayer-funded benefits to illegals"" in California are ""a skyrocketing cost under Obamacare.""",0.3818
half-true,"Says Allen West helped thwart a terrorist plot by shooting a gun in the direction of an Iraqi detainee, then reported the incident to his superior and said it was wrong.",-0.7717
false,"""Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.""",0.4939
false,Says U.S. House opponent Michael Williams does not live in and has never voted in the congressional district he’s seeking to represent.,0.0
mostly-false,"Says Sens. Joe Manchin and Kyrsten Sinema ""are Republicans … Just look at the way they vote.""",0.0
false,"A news report quoted Alec Baldwin saying, ""How about I just f----- shoot the both of ya?""",-0.34
mostly-false,"""Finland joins NATO.""",0.0
mostly-true,"""In some communities, for $10,000 worth of (PIP) coverage it’s $1,500 a year.""",0.2263
mostly-true,"""One out of five Americans cannot afford the cost of prescription drugs.""",0.0
true,Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,-0.7964
true,"""There has not been a Democratic woman in Congress from New Jersey in almost four decades.""",0.0
pants-fire,"""During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent.""",-0.5719
true,"Says the State Department spent $630,000 to get 2 million Facebook ""Likes.""",0.0
pants-fire,"Says Ruth Bader Ginsburg tweeted, ""I have information that will lead to the arrest of Hillary Clinton.""",-0.34
false,"""Coroner saying George Floyd died of drug overdose, not police brutality.""",-0.5574
false,"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",0.5423
false,"Hillary Clinton ""supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.""",0.25
mostly-true,"""Up until recently, 75 percent of all the sorties that left the base came back without dropping their ordnances, because there was such a concern about making sure that there were no civilian casualties.""",0.0258
false,A Paul Ryan-Scott Walker (or Scott Walker-Paul Ryan) ticket for the White House in 2016 would be unconstitutional because both men live in Wisconsin.,0.0
mostly-true,"Likens Obama's predicament to 1982, saying, ""when Reagan just started out, (unemployment was at) exactly the same point. He was two years into his term. The unemployment was well over 10 percent, and it did come out of it.""",-0.2023
true,"""Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen.""",-0.5719
false,"""Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""",0.0
half-true,"Saturday Night Live executive producer ""Lorne Michaels could be put in jail under this amendment for making fun of any politician.""",0.5106
half-true,"Austin mayoral candidate Steve Adler opposed an injunction to stop a ""company from dumping petrochemicals directly into the Barton Springs aquifer.""",-0.5423
mostly-false,"""Austin politicians want to cram more kids into classrooms so they don't have to make the tough decisions to balance the budget.""",-0.0516
false,"Images of crowds and crowded arenas were taken ""today in Tulsa Oklahoma""",0.0
mostly-true,"""Reagan took the deficit from $70 billion to $175 billion. Bush 41 took it to $300 billion. Clinton got it to zero. Bush 43 took it from zero to $1.2 trillion. Obama halved it to $600 billion. Trump’s got it back to a trillion.""",-0.4019
false,"Says his comment about extremists being a JV team ""wasn’t specifically referring to"" Islamic State.",0.0
mostly-true,"""In our community college system (state) cuts have reduced funding per student by $1,908.""",-0.296
false,The USPS backdated 100K ballots so they could be counted illegally.,0.0
pants-fire,Says NASCAR announced that driver Bubba Wallace mistook a serpentine automotive belt for a noose in his garage stall.,-0.2023
half-true,"Says U.S. Senate opponent Eric Hovde ""supported billions in stimulus for high-speed rail""  and ""billions more to bail out banks.""",0.3182
false,"Says President Barack Obama is trying to ""pack"" the D.C. Circuit Court of Appeals.",0.0
true,Says only four Texas legislators voted against a law giving in-state tuition rates to certain illegal immigrants.,-0.0258
mostly-false,"The Atlanta area’s water planning district ""is now the national leader in conservation.""",0.0
pants-fire,"Says Mark Pocan’s proposal to eliminate the U.S. Immigration and Customs Enforcement (ICE) would ""eliminate border enforcement.""",0.0
half-true,"Says we will pay the new chancellor ""a basic salary of nearly $300,000 a year ... an amount that does not include the costs of this public employee’s benefits, perks and living expenses for a lavish house, an upscale car, a spending allowance, and fine dining almost every day on the taxpayer dollar.""",0.4588
half-true,"""My plan offers three times as much tax relief to the middle class as Senator McCain's.""",0.4767
true,"President Barack Obama ""reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.""",0.0
half-true,"President Barack Obama has ""announced that he would not sign ANY spending bills this year unless sequestration spending cuts are eliminated.""",-0.296
mostly-true,"""Bennie Thompson objected to the 2004 Presidential election.""",0.0
mostly-false,"""Pick up a product. Look at the barcode. If the first 3 numbers are 690 or 691 or 692, the product was made in China.""",0.0
half-true,"""Western New Yorkers pay some of the highest property taxes in the state.""",-0.1027
false,"For the first time in U.S. history, a personal inaction will be deemed unlawful -- not purchasing a health-insurance plan",-0.25
half-true,"Quotes Donald Trump as saying in 2013, ""A shutdown falls on the President’s lack of leadership. He can’t even control his own party and get people together in a room. A shutdown means the president is weak.""",0.1027
half-true,"The recent process of awarding $3 billion worth of airport vending contracts was the ""most open and transparent procurement process in the city’s history.""",0.5859
false,"""Recent data showed Nevada ranks 50th in the money received from"" the stimulus bill.",0.0
mostly-false,"""I did not oppose busing in America. What I opposed is busing ordered by the Department of Education.""",0.0
half-true,"""There have been some estimates that if you deported everybody who is in Texas illegally,"" it ""would create an economic recession for the state.""",-0.1779
pants-fire,"""Dying nurse on deathbed claims she swapped more than 5,000 babies for ‘fun.’""",0.0
true,"""We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.""",0.6808
false,"The Strategic Petroleum Reserve has ""been mostly empty"" for decades.",-0.2023
mostly-true,"""In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.""",0.0
false,"""Data from around the world suggests that omicron favors the fully vaccinated.""",0.25
half-true,"Says Sherrod Brown voted ""for the $1.17 trillion health care law that adds a new tax on Ohio manufacturers.""",0.4939
half-true,"The health care reform law ""offset[s] 6 years of benefits with 10 years of tax increases.""",0.7003
mostly-true,"Obama's secretary of energy, Dr. Steven Chu, ""has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon.""",0.1779
false,"Donald Trump's second impeachment ""cost $33 million.""",0.0
half-true,"""Oregon and the federal government now have more than one million acres of burnt land and millions of trees are being left to rot.""",0.0
false,"""This lady here applied sanitizer to her hands/forearms & went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.""",-0.34
pants-fire,"""I have introduced balanced budgets every year that I’ve been governor.""",0.0
pants-fire,Australia is microchipping its public.,0.0
false,"Georgia’s new voting law ""makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.""",-0.8143
mostly-true,"""The United States of America, right now, has the strongest, most durable economy in the world.""",0.6908
half-true,"Says David Jolly’s former firm lobbied ""for hundreds of millions (of dollars) for a dictator in Pakistan.""",0.0
mostly-false,"""If you earn $100 and pay $33 income tax you’re left with $67. You then buy $67 worth of fuel and in doing so pay a 48% fuel tax (fuel tax = $32.16 + $6.70 GST). This means that the government just got $71.86 tax from your hard earned $100.""",-0.0772
mostly-false,"Wisconsin education agency ""urged white students to wear white wristbands ‘as a reminder about your (white) privilege.’ """,0.0
false,Says Texas is the only state that exempts jet fuel from its state motor fuels tax.,0.0
false,"Says U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy.""",0.0
true,"Republicans ""have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",-0.2732
mostly-true,"""Simply being in this country without documentation is not a crime""",0.431
false,"Says a photo shows ""Kurdish kids"" after Turkey’s invasion.",0.0
half-true,"""While Phil Bredesen was in the governor’s office, the number of Tennesseans on unemployment nearly doubled.""",-0.3818
half-true,"""Up to 80 percent of small businesses will be forced to give up their current plans due to new Obamacare regulations.""",-0.4588
mostly-true,"""In New Jersey, Gov. Christie vetoed legislation to extend early voting.""",0.1779
half-true,"Federal prosecutions for lying on background checks to buy guns are ""down 40 percent"" under President Barack Obama.",-0.5267
pants-fire,"""Corona virus: Florida man arrested for robbery using cough as a weapon.""",-0.4767
false,"""Queen Elizabeth tests positive for COVID-19.""",0.5574
true,"The United States ""is number one in the world in energy resources; Russia is number two.""",0.6705
mostly-false,Says Wisconsin Gov. Scott Walker turned a $1 billion surplus into a $2.2 billion budget deficit.,-0.4019
pants-fire,Video shows Nancy Pelosi slurring her speech at a public event.,0.0
false,"""Soy ... el único official estatal quién es un hombre de negocios.""",0.0
mostly-false,"""Beginning in the early 1990s, we built barriers in 4 sectors at our southern border. Since each was built, those sectors have seen massive drops in apprehensions of people crossing the border illegally,"" including 90 percent to 95 percent decreases in the Tucson, Yuma, San Diego and El Paso sectors. ​",-0.2263
true,"""Swaziland has the highest rate of HIV infection in the world.""",0.0
false,"""In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.""",0.0
false,"Nancy Pelosi said, ""if you accept a check from Trump, you might as well vote for him.""",0.5719
mostly-true,"""Texas now has the second-highest high school graduation rate in the country. And it has the highest graduation rate for African Americans and Hispanics.""",0.0
mostly-true,"""When is a farm bill not a farm bill? When 90 percent of it is for food stamps.""",0.0
true,"""The United States has a low voter turnout rate.""",0.1779
pants-fire,"Says President Donald Trump said, ""People are dying who have never died before.""",0.4449
pants-fire,"A leaked email from a Liberal Party politician shows the Canadian government's plan to ""reset"" the economy and seize private property.",0.1027
pants-fire,Says some Austin school district classrooms lack electrical outlets.,-0.3182
mostly-false,"Says ""the one person (Donald Trump) has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge.""",0.743
mostly-true,"To pay for government growth, leaders of both parties ""borrowed $4 billion a day, leaving us with today's $14 trillion debt.""",0.5994
false,"The Buffalo protester pushed to the ground ""had been previously arrested 300 times. 82 times for incitement. Riots is what he does for a living.""",-0.7506
true,"""From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent.""",0.4019
mostly-false,"Every one of ""more than 30 federal judges who have considered the issue of gay and lesbian rights since last June… ruled that marriage is a constitutional right and you cannot deprive individual citizens of that right based on their sexual orientation.""",0.3724
pants-fire,"""National Geographic’s photo of the year"" is a great white shark leaping out of the water.",0.6249
mostly-false,"""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""",-0.3612
mostly-false,"""It matters that we nominate a candidate who saw the destruction wrought by a broken health care system and gave people universal health care. … These things really matter. And these are the things that I've done in New York.""",0.024
false,"""He reformed welfare before others tried.""",0.0
half-true,"""Under Gov. Kitzhaber, unemployment rose 65 percent, state spending went up 57 percent and personal incomes declined compared to the rest of the country.""",-0.4404
mostly-true,"Says Illinois has made a ""nation-leading"" investment in funding for Census outreach.",0.2732
mostly-false,"""The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.""",-0.6908
true,"The U.S. ""doesn’t make television sets anymore.""",0.0
half-true,"Asked what his administration would be doing about ""the gun problem,"" said, ""We have done much more than most administrations. … We’ve done, actually, a lot.""",-0.34
half-true,"A new state agreement with Foxconn ""will save Wisconsin taxpayers $2.77 billion.""",0.7506
mostly-true,"""My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.""",0.0
mostly-true,"""We went from zero A elementary schools when I took office to 16 when I left, and our total A and B schools went up by 260 percent.""",0.0
pants-fire,"Former Alaska Governor Sarah Palin was right that President Barack Obama’s health care bill created what ""would, in effect, be death panels.""",0.0772
pants-fire,"Says Alexandria Ocasio-Cortez's net worth is ""over $1 million.""",0.2263
mostly-true,"""The turnout on May 14th was just 7 percent -- the lowest turnout in decades.""",-0.3818
false,Absentee voting is different from mail-in voting and has more protections against fraud.,-0.7322
false,"Said U.S. Rep. Jim Marshall, D-Macon, sent nearly $2 billion overseas to build wind turbines and create jobs, mostly in China",0.2732
half-true,"""If we increase fuel efficiency standards to 40, 45 miles a gallon, we would have to import zero oil from the Middle East.""",0.5859
half-true,"Says ""92 percent of the people agree on DACA.""",0.3612
mostly-false,"Barack Obama ""is more to the left of the announced Socialist in the United States Senate.""",0.4215
true,"""Twenty-five states have lower unemployment than Texas"" which is ""tied with Mississippi for more minimum-wage jobs than anywhere in the United States.""",-0.3182
mostly-true,Says Milwaukee County Parks director Sue Black has not received a pay raise in five years.,0.0762
half-true,"Between June 30 and July 10, CNN interviewed ""17 Israeli public officials versus one"" Palestinian official.",0.0
true,"Says Abraham Lincoln tried to buy slaves' freedom in border states, but the states ""all rejected it.""",-0.431
half-true,"""The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change.""",0.0
mostly-false,"The man who killed a motorist who fatally struck a 2-year-old was ""back on the street"" because he had received a 13-year sentence for bank robbery but only ""served two years.""",-0.6908
mostly-true,"""As Jim Doyle’s Commerce secretary, Mary Burke spent $12.5 million dollars to buy a vacant lot for a company that said it had no plans to create jobs in Wisconsin"" and had laid off 800 workers.",-0.0258
false,Says Boris Johnson faked getting his booster shot.,0.0
false,"Atlanta Public Schools’ 2011 CRCT tests were ""given under the strictest security possible.""",0.34
false,"""Bob Hall never successfully passed a bill.""",-0.3875
half-true,"Says that as a U.S. senator, Russ Feingold ""voted against authorizing our military 11 separate times.""",0.0
mostly-true,"The state contributed $80 million for the new Bucks arena, but new income tax revenue from basketball events alone ""is estimated to be probably over $600 million over the life of the lease.""",-0.3612
false,Says Kay Bailey Hutchison voted for sanctuary cities.,0.0
mostly-true,"""Former Gov. Rick Perry signed a law that a federal court said was actually written with the purpose of discriminating against minority voters.""",0.0
mostly-false,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",0.0
mostly-false,"""Who would sign up to speak for a (Haitian) dictator? Rob Portman.""",-0.5574
false,Joe Biden didn’t sign an antilynching bill in a ceremony outside the White House on March 29.,0.0
pants-fire,"John Holdren, director of the White House Office of Science and Technology Policy, ""has proposed forcing abortions and putting sterilants in the drinking water to control population.""",0.0
mostly-false,"""The Democrats filibustered the legislation that would’ve resulted in this shooter being in federal prison instead of murdering those innocents in that Texas church.""",-0.7579
half-true,"Says NRA head Wayne LaPierre said, ""We believe in absolutely gun-free, zero-tolerance, totally safe schools. That means no guns in America’s schools. Period.""",0.2484
false,"Says John Podesta’s email password was ""password.""",0.0
pants-fire,"""Federal magistrate approves $110 million defamation suit against LeBron James by Kyle Rittenhouse.""",0.4019
mostly-true,"""I am very proud that over my almost 30 years of public service I have had no scandals.""",0.2944
mostly-true,"In 2021, ""11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.""",-0.6908
true,Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,0.0
half-true,"Sharron Angle supported ""a Scientology plan to give massages to prisoners.""",0.3182
mostly-true,"""If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.""",-0.6908
true,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",-0.4215
half-true,"""TEA is allowing online learning with attendance stipulations but will not fund school districts if they do not open their schools...If schools do not open and are not funded there will be no more teachers or school at all.""",-0.4215
false,The media called the 2016 election for Hillary Clinton.,0.0
pants-fire,Says Quaden Bayles committed suicide.,-0.5267
half-true,"""Since 2015, Scott Walker has not done a public event where you don't have to pay admission or be on an approved list.""",0.476
mostly-true,"""We just had the best year for the auto industry in America in history.""",0.6369
true,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",0.0
false,"""Within a few years, we will be spending more on interest payments than on national security.""",0.507
true,"""For decades, the state’s gas tax has been among the highest in the nation.""",0.0
false,"Says New Jersey’s tenure law ""has now been reformed to say that if teachers get two years of partially effective or ineffective ratings they lose tenure.""",-0.0258
true,"""In the month of January, Canada created more new jobs than we did.""",0.25
mostly-true,"""Governor Rauner has called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.""",0.4019
false,"Says drug dealers have ""overdosed on purpose"" to avoid prosecution.",-0.6597
mostly-false,"""We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses.""",0.0
false,"""Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.""",-0.4215
mostly-false,"""It is estimated that every $100 million spent on construction generates 3,000 new jobs.""",0.0
half-true,"Georgia’s illegal-immigration legislation ""simply follows existing federal law.""",0.0
pants-fire,"Accuses Ed FitzGerald of ""pay-to-play and corruption politics.""",-0.34
false,"""It’s not the coronavirus that’s killing people. It is the economy.""",-0.6597
false,"The Climatic Research Unit e-mails show that the science behind climate change ""has been pretty well debunked.""",0.6486
mostly-false,"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.",0.6369
false,A serial killer is on the loose in Virginia.,-0.765
half-true,"""Every 20 seconds, a child dies because they lack access to clean water and sanitation.""",0.1027
mostly-true,"Says a state bill checks the spending habits of the Milwaukee County Board of Supervisors by ""bringing it in line with other county boards around the state.""",0.0
pants-fire,"""It is more difficult to obtain a Costco membership than it is to get a NYC Municipal ID""",-0.4201
false,"""I've gotten to see the commercials that they did on you. And I've gotten to see some of the most vicious commercials I've ever seen of Michelle Obama talking about you, Hillary.""",-0.4201
false,"""We've excluded lobbyists from policymaking jobs.""",-0.34
true,"During ""the recent global warming summit in Copenhagen, Nancy Pelosi and others stayed at a five-star hotel on a trip costing nearly $10,000 per person.""",0.1531
false,"""We have no regulation of drones in the United States in their commercial use.""",0.1531
half-true,The city of Atlanta ranks 25th among U.S. cities with the highest crime rates.,-0.5423
true,"""The government does not need a warrant to read your old emails.""",0.0
mostly-false,"California’s Proposition 63 would ""CRIMINALIZE the sharing of ammunition between friends who may be hunting or shooting together.""",0.7096
mostly-false,Women in the U.S. get 23 percent less pay than men for the same exact work.,-0.0276
mostly-false,"""The United States Senate — Democrats and Republicans — (voted) to keep our government open.""",0.4215
mostly-true,Says Texas lawmakers last year expanded public education’s share of state spending.,0.296
pants-fire,"""Nobody’s invited us"" to the Obama events in Atlanta.",0.0
pants-fire,"Says President Trump’s mother said, ""Yes, he’s an idiot with zero common sense, and no social skills, but he is my son. I just hope he never goes into politics. He’d be a disaster.""",0.2732
mostly-false,"""In barely four years in office, five jihadists have reached their targets in the United States under Barack Obama,"" compared to zero ""in over seven years after 9/11 under George W. Bush.""",0.4939
false,"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",-0.6486
false,"""Justin Amash is rated Michigan’s No. 1 conservative"" by National Right to Life.",-0.296
false,"""If you were a Muslim, you could come in, if you were a Christian, it was impossible.""",0.0
pants-fire,"""Right here (in West Virginia), they are building new houses … so that 321 Syrian Muslims can move down into this neighborhood in two months. … (A funeral home) is to be torn down in two months, and a mosque is going to built there.""",-0.5423
mostly-false,"""The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.""",-0.6705
mostly-false,"""I started the whole year"" as a senior on the University of Illinois football team and ""led the team in interceptions and tackles from defensive back.""",0.0258
half-true,"""I never lobbied under any circumstance"" for Freddie Mac.",0.0
false,"""One year today since #GOP took control of the House"" and ""no new jobs.""",-0.296
mostly-true,"Palin ""fired Wasilla's Police Chief because he 'intimidated' her.""",-0.5574
false,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,0.0
true,"""Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.""",0.4019
true,"National polls have ""never predicted who will be president from our party. Carter was in the single digits a few months before caucuses. Bill Clinton was. Obama — 20 points behind in the national polls roughly.""",0.4019
mostly-false,"Murray Energy is ""the largest coal company in the United States.""",0.5994
mostly-false,"""In Catherine Cortez Masto's last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as America's third most dangerous state.""",-0.9299
half-true,Secretary of State A. Ralph Mollis wrongly takes credit for small-business program,0.3818
mostly-false,"Daniel Webster ""is an advocate for a group that teaches that mothers should not work outside the home.""",0.0
true,"""The Railroad Commission of Texas has nothing to do with railroads.""",0.0
mostly-true,"""The reason why Cubans don't have access to 21st century telecommunications — like smart phones, like access to the Internet — is because it is illegal in Cuba.""",0.4767
mostly-true,"Gov. Maggie Hassan’s budget proposal ""raises taxes on small businesses and increases taxes and fees by $100 million.""",0.0
mostly-false,"Obama ""says he'll raise taxes on electricity.""",0.0
false,"Says Nancy Pelosi ""wants to remove votes from soldiers overseas"" and said, ""They don’t even live here.""",0.0
false,"""These ‘peaceful’ protesters burned these horses to death.""",-0.2263
false,"""President Trump signed legislation to clean up millions of tons of trash from our oceans and lakes last week.""",0.4019
half-true,"""Pennsylvania (is) the only state in the country not to tax drillers.""",0.0
false,"""‘He’s low risk,’ said Obama before freeing ISIS leader al Baghdadi.""",0.25
false,"Says recent changes to Austin city policy give homeless people more rights than property owners and allow for ""homeless camps on private property, business frontage, and even public sidewalks.""",0.2263
true,The Republican Party has not won a presidential election without either a Bush or a Nixon on the ticket since 1928.,-0.0767
mostly-true,"Michele Bachmann's legislative record is ""offering failed amendments.""",-0.5106
true,"""Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.""",-0.8542
mostly-true,"If upstate New York split from downstate ""the economic indicators of upstate New York would be among the lowest in the country.""",-0.3818
pants-fire,"""I am the only candidate who ran in either primary who said, ‘I will not raise taxes on the middle class.’""",0.0
pants-fire,"""U.S. military arrests Michael Sussmann.""",-0.4404
mostly-false,"""Here in Florida, I’ve slashed government by 10 percent. That's $7 billion.""",-0.2263
false,"The new Apple Watch Series 4 includes ""the first ECG product offered over-the-counter directly to consumers.""",0.0
false,"The University of Wisconsin System ""will be much more affordable than just about any other campus in America"" because ""going forward we have a cap on it tied to inflation.""",0.0
true,"Says the Congressional Budget Office estimates a cap-and-trade program would cost the average family the equivalent of ""a postage stamp a day.""",0.0
false,"Conservatives gained Twitter followers after the company announced its deal with Elon Musk because ""Twitter lifted a broad anti-conservative, anti-Trump shadow ban.""",0.3818
mostly-false,"Obama says his health care plan is ""universal.""",0.4939
mostly-false,"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",-0.5358
half-true,"""I am the only one onstage who has never voted to raise your taxes. These two, each, a billion dollars worth of votes to raise your taxes.""",0.2263
half-true,"""Florida leads the nation in elected officials charged with crimes.""",-0.2023
